,Town,Region,Country,Town Code,Website,Phone,Postal Code,Mayor,Population,Area,Altitude,LAT,LONG,URL,Inhabitants/Km2
24,Villanueva,Casanare,Colombia,85440,http://www.villanueva-casanare.gov.co,+576086241204,855037,Oswaldo Fontecha Pachon,20730,803.0,235,4.6,-72.917,https://www.municipio.com.co/municipio-villanueva-cas.html,25.8
25,Trinidad,Casanare,Colombia,85430,http://www.trinidad-casanare.gov.co,+5786371469,853019,Jesus Yonency Cuevas Amaya,11083,2991.0,162,5.4,-71.65,https://www.municipio.com.co/municipio-trinidad.html,3.7
26,Chámeza,Casanare,Colombia,85015,http://www.chameza-casanare.gov.co,+5786350019,856037,Bernardo Pérez Fonseca,1697,289.0,1319,5.217,-72.883,https://www.municipio.com.co/municipio-chameza.html,5.9
27,Aguazul,Casanare,Colombia,85010,http://aguazul-casanare.gov.co,+5786392323,856018,Johana Moreno,27443,1455.0,266,5.167,-72.55,https://www.municipio.com.co/municipio-aguazul.html,18.9
28,La Victoria,Amazonas,Colombia,91430,N/A,N/A,916017,Mario Alberto Yucuna,880,1443.0,141,0.05,-71.217,https://www.municipio.com.co/corregimiento-departamental-la-victoria-ama.html,0.6
29,Nunchía,Casanare,Colombia,85225,http://www.nunchia-casanare.gov.co,+5786352046,851078,Fredy Higuera Marquez,16000,1101.0,380,5.63333,-72.2,https://www.municipio.com.co/municipio-nunchia.html,14.5
30,Yopal,Casanare,Colombia,85001,http://yopal-casanare.gov.co,+5786354621,850002,Luis Eduardo Castro,103754,2532.0,350,5.35,-72.4,https://www.municipio.com.co/municipio-yopal.html,41.0
31,Orocué,Casanare,Colombia,85230,http://www.orocue-casanare.gov.co,+5786365088,853050,Anderson Salvador Bernal Tello,7324,4789.0,121,4.8,-71.333,https://www.municipio.com.co/municipio-orocue.html,1.5
32,Maní,Casanare,Colombia,85139,http://www.mani-casanare.gov.co,+5786381016,854010,Tony Wilfred Avila Hernandez ,10493,3784.0,167,4.8,-72.267,https://www.municipio.com.co/municipio-mani.html,2.8
33,Sácama,Casanare,Colombia,85315,http://www.sacama-casanare.gov.co,+5786361145,851037,Mario Hernando Estupiñan ,1638,291.0,1298,6.09925,-72.2486,https://www.municipio.com.co/municipio-sacama.html,5.6
34,San Luis de Palenque,Casanare,Colombia,85325,http://sanluisdepalenque-casanare.gov.co,+5786370011,853037,Ediver Vásquez Rincón,6982,3057.0,169,5.417,-71.733,https://www.municipio.com.co/municipio-san-luis-de-palenque.html,2.3
35,Paz de Ariporo,Casanare,Colombia,85250,http://www.pazdeariporo-casanare.gov.co,+5786373013,852037,Jorge Camilo Abril Tarache,25324,12114.0,253,5.883,-71.883,https://www.municipio.com.co/municipio-paz-de-ariporo.html,2.1
36,Puerto Tejada,Cauca,Colombia,19573,http://www.puertotejada-cauca.gov.co,+5728280151,191507,Dagoberto Martinez,44220,92.0,964,3.233,-76.417,https://www.municipio.com.co/municipio-puerto-tejada.html,480.7
37,Sabanalarga,Casanare,Colombia,85300,http://www.sabanalarga-casanare.gov.co,+573138850270,855058,William Alberto Roa Alonso,3232,408.0,450,4.85,-73.033,https://www.municipio.com.co/municipio-sabanalarga-cas.html,7.9
38,Piendamó,Cauca,Colombia,19548,http://piendamo-cauca.gov.co,+5728250099,190537,Victor Issac Valencia Sandoval,36225,171.0,2058,2.633,-76.5,https://www.municipio.com.co/municipio-piendamo.html,211.8
39,Hato Corozal,Casanare,Colombia,85125,http://www.hatocorozal-casanare.gov.co,+5786378066,852018,José Antonio Esteban Núñez,9618,5581.0,250,6.167,-71.767,https://www.municipio.com.co/municipio-hato-corozal.html,1.7
40,Bolívar,Cauca,Colombia,19100,http://www.bolivar-cauca.gov.co,+5728272252,195007,Rodrigo Hernan Perez,43461,717.0,1092,1.967,-76.967,https://www.municipio.com.co/municipio-bolivar-cau.html,60.6
41,Támara,Casanare,Colombia,85400,http://www.tamara-casanare.gov.co,+5786361016,851050,Fernando Mantilla Abrero,6480,1136.0,1032,5.817,-72.167,https://www.municipio.com.co/municipio-tamara.html,5.7
42,Caloto,Cauca,Colombia,19142,http://www.caloto-cauca.gov.co,+5728258336,191070,Maria Liliana Ararat Mejia,36901,302.0,1158,3.033,-76.417,https://www.municipio.com.co/municipio-caloto.html,122.2
43,Miranda,Cauca,Colombia,19455,http://www.miranda-cauca.gov.co,+5728476090,191520,Samuel Londoño Ortega,39000,212.0,1025,3.25,-76.25,https://www.municipio.com.co/municipio-miranda.html,184.0
44,Silvia,Cauca,Colombia,19743,http://www.silvia-cauca.gov.co,+5728251108,192087,Juan Carlos Lopez Morales,30826,582.0,2543,2.617,-76.383,https://www.municipio.com.co/municipio-silvia.html,53.0
45,El Tambo,Cauca,Colombia,19256,http://eltambo-cauca.gov.co,+5728238393,193587,Hugo Ferney Bolaños,34258,2615.0,1745,2.45,-76.817,https://www.municipio.com.co/municipio-el-tambo-cau.html,13.1
46,La Vega,Cauca,Colombia,19397,http://www.lavega-cauca.gov.co,+5728269571,194038,Luis Alfredo Molano Molano,33133,492.0,1987,2.083,-76.767,https://www.municipio.com.co/municipio-la-vega-cau.html,67.3
47,Cajibío,Cauca,Colombia,19130,http://www.cajibio-cauca.gov.co,+5728490109,190507,Luis Helmer Vivas Manzano,34818,526.0,1793,2.617,-76.567,https://www.municipio.com.co/municipio-cajibio.html,66.2
48,Páez,Cauca,Colombia,19517,http://www.paez-cauca.gov.co,+5788252406,192517,Marco Albeiro Gutierrez Penagos ,31548,1599.0,1801,2.65,-75.983,https://www.municipio.com.co/municipio-paez-cau.html,19.7
49,Guapi,Cauca,Colombia,19318,http://www.guapi-cauca.gov.co,+5728400488,196001,Plutarco Marino Grueso Obregón,28649,2688.0,6,2.57519,-77.8961,https://www.municipio.com.co/municipio-guapi.html,10.7
50,Timbío,Cauca,Colombia,19807,http://www.timbio-cauca.gov.co,+5728278124,193528,Maribel Perafan Gallardo,30222,169.0,1782,2.35,-76.683,https://www.municipio.com.co/municipio-timbio.html,178.8
51,Patía,Cauca,Colombia,19532,http://patia-cauca.gov.co,+5728261024,195509,Orlando Muñoz Martinez,33195,723.0,990,2.117,-76.983,https://www.municipio.com.co/municipio-patia.html,45.9
52,Balboa,Cauca,Colombia,19075,http://www.balboa-cauca.gov.co,+5728265212,195537,Nelson Enrique Pareja López,23699,329.0,1690,2.05,-77.217,https://www.municipio.com.co/municipio-balboa-cau.html,72.0
53,Caldonó,Cauca,Colombia,19137,http://www.caldono-cauca.gov.co,+5728473484,192047,Paulo Andres Piso Lozada,31045,373.0,1695,2.8,-76.483,https://www.municipio.com.co/municipio-caldono.html,83.2
54,Inzá,Cauca,Colombia,19355,http://www.inzacauca.gov.co,+5728252510,192538,Gelmis Chate Rivera,27172,685.0,1754,2.55,-76.067,https://www.municipio.com.co/municipio-inza.html,39.7
55,Corinto,Cauca,Colombia,19212,http://www.corinto-cauca.gov.co,+5728270178,191560,Edward Fernando Garcia Sànchez,22825,294.0,1031,3.183,-76.267,https://www.municipio.com.co/municipio-corinto.html,77.6
56,Morales,Cauca,Colombia,19473,http://morales-cauca.gov.co,+5728493014,190557,Silvio Villegas Sandoval,24381,418.0,1686,2.75,-76.633,https://www.municipio.com.co/municipio-morales-cau.html,58.3
57,Buenos Aires,Cauca,Colombia,19110,http://www.buenosaires-cauca.gov.co,+5728466709,191008,Clemente Lucumi Golu,22804,410.0,1175,3.017,-76.65,https://www.municipio.com.co/municipio-buenos-aires.html,55.6
58,Guachené,Cauca,Colombia,19300000,http://guachene-cauca.gov.co,+5728259101,N/A,ELMER ABONIA RODRIGUEZ,19553,97.0,996,3.13285,-76.3927,https://www.municipio.com.co/municipio-guachene.html,201.6
59,Toribío,Cauca,Colombia,19821,http://www.toribio-cauca.gov.co,+5728498281,192009,Silvio Valencia,26616,412.0,1823,2.95,-76.267,https://www.municipio.com.co/municipio-toribio.html,64.6
60,Rosas,Cauca,Colombia,19622,http://rosas-cauca.gov.co,+5728254013,193558,Eblin Ruth Luligo Narvaez,11421,130.0,1969,2.267,-76.75,https://www.municipio.com.co/municipio-rosas.html,87.9
61,Padilla,Cauca,Colombia,19513,http://padilla-cauca.gov.co,+5728268124,191547,Victor Hugo Vidal Aguilar,8279,68.0,979,3.233,-76.317,https://www.municipio.com.co/municipio-padilla.html,121.8
62,Sucre,Cauca,Colombia,19785,http://sucre-cauca.gov.co,+5728272815,194060,Edwin Richerd Meneses Torres,7907,128.0,1140,2.03719,-76.9246,https://www.municipio.com.co/municipio-sucre-cau.html,61.8
63,Santa Rosa,Cauca,Colombia,19701,http://www.santarosa-cauca.gov.co,+5728566320,194520,Eduardo Alfredo Jiménez Bambagüe Actualmente en el cargo,5300,3009.0,2073,1.733,-76.6,https://www.municipio.com.co/municipio-santa-rosa-cau.html,1.8
64,Florencia,Cauca,Colombia,19290,http://florencia-cauca.gov.co,+5727264684,195047,Edwin Urbano Benitez,6014,56.0,1558,1.7,-77.083,https://www.municipio.com.co/municipio-florencia-cau.html,107.4
65,Piamonte,Cauca,Colombia,19533,http://www.piamonte-cauca.gov.co,+5728237880,194550,Jose Juaquin Ramos  Rodriguez,1387,1162.0,288,1.03094,-76.3444,https://www.municipio.com.co/municipio-piamonte.html,1.2
66,Argelia,Cauca,Colombia,19050,http://www.argelia-cauca.gov.co,+5728399036,195560,JHONNATAN PATIÑO CERON,290,674.0,1873,2.25,-77.283,https://www.municipio.com.co/municipio-argelia-cau.html,0.4
67,Cartagena del Chairá,Caquetá,Colombia,18150,http://www.cartagenadelchaira-caqueta.gov.co,+5784318100,183018,Efraín Chavarro Silva,20219,13161.0,189,1.35,-74.833,https://www.municipio.com.co/municipio-cartagena-del-chaira.html,1.5
68,Puerto Rico,Caquetá,Colombia,18592,http://puertorico-caqueta.gov.co,+5784312230,182059,Wilmer Cárdenas Rodríguez,17924,2791.0,249,1.91056,-75.1467,https://www.municipio.com.co/municipio-puerto-rico-caq.html,6.4
69,Florencia,Caquetá,Colombia,18001,http://www.florencia-caqueta.gov.co,+5784353333,180008,Gloria Patricia Farfan Gutierrez,137896,2292.0,257,1.61389,-75.6128,https://www.municipio.com.co/municipio-florencia-caq.html,60.2
70,San Vicente del Caguán,Caquetá,Colombia,18753,http://www.sanvicentedelcaguan.gov.co,+5784644757,182010,Domingo Emilio Pérez Cuellar,42374,17873.0,263,2.11028,-74.7686,https://www.municipio.com.co/municipio-san-vicente-del-caguan.html,2.4
71,El Doncello,Caquetá,Colombia,18247,http://www.eldoncello-caqueta.gov.co,+5784310200,181019,Fernando Troncoso Casañas,18732,1027.0,340,1.683,-75.283,https://www.municipio.com.co/municipio-el-doncello.html,18.2
72,Totoró,Cauca,Colombia,19824,http://totoro-cauca.gov.co,+5728275023,192577,Hilario Sánchez Sánchez,17611,384.0,2811,2.5,-76.4,https://www.municipio.com.co/municipio-totoro.html,45.9
73,San José del Fragua,Caquetá,Colombia,18610,http://sanjosedelfragua-caqueta.gov.co,+5784369420,186078,Dúber Fabio Trujillo Medina,9363,1227.0,366,1.33103,-75.9744,https://www.municipio.com.co/municipio-san-jose-del-fragua.html,7.6
74,Timbiquí,Cauca,Colombia,19809,http://timbiqui-cauca.gov.co,+5728278014,196037,José Miguel Paz Ballesteros,17069,2002.0,4,2.77228,-77.6655,https://www.municipio.com.co/municipio-timbiqui.html,8.5
75,Valparaíso,Caquetá,Colombia,18860,http://www.valparaiso-caqueta.gov.co,+5784304052,185050,Luz Mila Ciceri Ortiz,7645,1080.0,211,1.2,-75.717,https://www.municipio.com.co/municipio-valparaiso-caq.html,7.1
76,Suárez,Cauca,Colombia,19780,http://www.suarez-cauca.gov.co,+5728288048,190597,Hernando Ramirez Ramirez,19002,370.0,1081,2.95,-76.7,https://www.municipio.com.co/municipio-suarez-cau.html,51.4
77,Villa Rica,Cauca,Colombia,19845,http://www.villarica-cauca.gov.co,+5728486329,191060,Hermeregildo Benachí Bello,14378,77.0,948,3.167,-76.467,https://www.municipio.com.co/municipio-villa-rica.html,186.7
78,La Sierra,Cauca,Colombia,19392,http://lasierra-cauca.gov.co,+5728255013,194001,Guido Alberto Hoyos Piamba,14000,203.0,1653,2.183,-76.767,https://www.municipio.com.co/municipio-la-sierra.html,69.0
79,Jambaló,Cauca,Colombia,19364,http://www.jambalo-cauca.gov.co,+5728252626,192028,Flor Ilva Trochez Ramos,14831,252.0,2248,2.783,-76.333,https://www.municipio.com.co/municipio-jambalo.html,58.9
80,Mercaderes,Cauca,Colombia,19450,http://www.mercaderes-cauca.gov.co,+5728460136,195069,Edilson Gomez Balanta,17670,640.0,1138,1.9,-77.167,https://www.municipio.com.co/municipio-mercaderes.html,27.6
81,Sotará,Cauca,Colombia,19760,http://www.sotara-cauca.gov.co,+5728247516,193501,Arold Yesidt Paz Castro,15894,449.0,2433,2.25,-76.617,https://www.municipio.com.co/municipio-sotara.html,35.4
82,López de Micay,Cauca,Colombia,19418000,http://www.lopezdemicay.gov.co,+5728405010,N/A,Juan Nepomuceno Riascos Ortega,12950,3297.0,30,2.85,-77.25,https://www.municipio.com.co/municipio-lopez-de-micay.html,3.9
83,San Sebastián,Cauca,Colombia,19693,http://www.sansebastian-cauca.gov.co,+5728272594,194507,Mauricio Javier Ordoñez,12976,389.0,2133,1.83758,-76.7687,https://www.municipio.com.co/municipio-san-sebastian.html,33.4
84,Almaguer,Cauca,Colombia,19022,http://www.almaguer-cauca.gov.co,+5728267521,194087,Dario Albeiro Galindez,18393,224.0,1790,1.917,-76.867,https://www.municipio.com.co/municipio-almaguer.html,82.1
85,Solita,Caquetá,Colombia,18785,http://www.solita-caqueta.gov.co,+5784359659,185078,Justo Pastor Martinez Ramirez,7397,747.0,210,0.939289,-75.6409,https://www.municipio.com.co/municipio-solita.html,9.9
86,Puracé,Cauca,Colombia,19585,http://www.purace-cauca.gov.co,+5728277002,193009,Jairo Rolando Certuche Garces,14923,783.0,2434,2.35,-76.5,https://www.municipio.com.co/municipio-purace.html,19.1
87,Puerto Milán,Caquetá,Colombia,18460000,http://www.milan-caqueta.gov.co,+5784306035,N/A,NAYIVE LOPEZ OLAYA,7421,1366.0,210,1.28975,-75.5046,https://www.municipio.com.co/municipio-puerto-milan.html,5.4
88,La Montañita,Caquetá,Colombia,18410,http://www.lamontanita-caqueta.gov.co,+5784300156,181067,Édgar Rincón Torres,15725,2001.0,235,1.40645,-75.4541,https://www.municipio.com.co/municipio-la-montanita.html,7.9
89,Belén de los Andaquíes,Caquetá,Colombia,18094,http://belendelosandaquies-caqueta.gov.co,+5784316202,186018,Efraín Chavarro Silva,10809,1095.0,276,1.417,-75.867,https://www.municipio.com.co/municipio-belen-de-los-andaquies.html,9.9
90,Solano,Caquetá,Colombia,18756,http://www.solano-caqueta.gov.co,+5784357115,184018,Edinson Tascón Rubio,10625,41653.0,200,0.717,-75.25,https://www.municipio.com.co/municipio-solano.html,0.3
91,Curillo,Caquetá,Colombia,18205,http://www.curillo-caqueta.gov.co,+5784302369,186050,María Edith Rivera Bermeo,7334,459.0,225,1.03334,-75.9188,https://www.municipio.com.co/municipio-curillo.html,16.0
92,Albania,Caquetá,Colombia,18029,http://albania-caqueta.gov.co,+5784303089,186030,Jose Eugenio Gaviria Salgado,6036,417.0,263,1.333,-75.883,https://www.municipio.com.co/municipio-albania-caq.html,14.5
93,El Paujil,Caquetá,Colombia,18256,http://elpaujil-caqueta.gov.co,+5784314080,181030,Rodrigo Andrés Castro Betancourt,14852,1336.0,346,1.567,-75.333,https://www.municipio.com.co/municipio-el-paujil.html,11.1
94,La Dorada,Caldas,Colombia,17380,http://ladorada-caldas.gov.co,+570180009540,175031,César Arturo Alzate Montes,70486,574.0,165,5.45,-74.667,https://www.municipio.com.co/municipio-la-dorada.html,122.8
95,Anserma,Caldas,Colombia,17042,http://aguadas-caldas.gov.co,+5768514480,177088,Jorge Ivan Duque Cardona,33674,228.0,1700,5.233,-75.783,https://www.municipio.com.co/municipio-anserma.html,147.7
96,Morelia,Caquetá,Colombia,18479,http://www.morelia-caqueta.gov.co,+5784357289,185010,Hernan Florez Cuelllar,3580,440.0,258,1.483,-75.717,https://www.municipio.com.co/municipio-morelia.html,8.1
97,Villamaría,Caldas,Colombia,17873,http://www.villamaria-caldas.gov.co,+578932321,176008,Andrés Felipe Aristizábal Parra,45038,480.0,1814,5.05,-75.517,https://www.municipio.com.co/municipio-villamaria.html,93.8
98,Chinchiná,Caldas,Colombia,17174,http://chinchina-caldas.gov.co,+5768507215,176020,Sergio Lopez Arias ,51301,114.0,1405,4.983,-75.6,https://www.municipio.com.co/municipio-chinchina.html,450.0
99,Riosucio,Caldas,Colombia,17614,http://riosucio-caldas.gov.co,+5768592073,178040,Bernardo Arley Hernandez Ayala ,35843,422.0,1729,5.417,-75.7,https://www.municipio.com.co/municipio-riosucio-cal.html,84.9
100,Pensilvania,Caldas,Colombia,17541,http://pensilvania-caldas.gov.co,+5768555171,173069,Jesus Ivan Ospina Atehortua,23575,573.0,2165,5.383,-75.167,https://www.municipio.com.co/municipio-pensilvania.html,41.1
101,Neira,Caldas,Colombia,17486,http://www.neira-caldas.gov.co,+5768587905,171007,Marino Murillo Franco,27250,393.0,1927,5.167,-75.517,https://www.municipio.com.co/municipio-neira.html,69.3
102,Samaná,Caldas,Colombia,17662,http://samana-caldas.gov.co,+5768658476,174009,Alfredo Odacid Valencia Dovale,18295,796.0,861,5.533,-74.95,https://www.municipio.com.co/municipio-samana.html,23.0
103,Salamina,Caldas,Colombia,17653,http://www.salamina-caldas.gov.co,+5768595012,172008,Luis German Noreña Garcia,18281,411.0,1796,5.4,-75.483,https://www.municipio.com.co/municipio-salamina-cal.html,44.5
104,Aguadas,Caldas,Colombia,17013,http://www.aguadas-caldas.gov.co,+5768514478,172020,Oscar Yonny Osorio Zapata,22307,510.0,2114,5.617,-75.45,https://www.municipio.com.co/municipio-aguadas.html,43.7
105,Manizales,Caldas,Colombia,17001,http://www.alcaldiamanizales.gov.co,+5768720489,170007,Carlos Mario Marín Correa,368433,477.0,2146,5.067,-75.517,https://www.municipio.com.co/municipio-manizales.html,772.4
106,Supía,Caldas,Colombia,17777,http://supia-caldas.gov.co,+5768560215,178027,Omairo Ayala Cataño,24072,124.0,1183,5.45521,-75.6502,https://www.municipio.com.co/municipio-supia.html,194.1
107,Manzanares,Caldas,Colombia,17433,http://manzanares-caldas.gov.co,+5768550022,173027,Carlos Enrique Botero  Alvares,18143,195.0,1933,5.25,-75.15,https://www.municipio.com.co/municipio-manzanares.html,93.0
108,Palestina,Caldas,Colombia,17524,http://palestina-caldas.gov.co,+5768710865,176040,Mauricio Jaramillo Martinez ,17310,119.0,1607,5.02054,-75.6219,https://www.municipio.com.co/municipio-palestina-cal.html,145.5
109,Viterbo,Caldas,Colombia,17877,http://www.viterbo-caldas.gov.co,+5768690090,177027,Alba Luz Escobar De Lopez ,11805,122.0,948,5.067,-75.867,https://www.municipio.com.co/municipio-viterbo.html,96.8
110,Risaralda,Caldas,Colombia,17616,http://www.risaralda-caldas.gov.co,+5768557112,177068,Juan Camilo Gallego Hoyos,10175,101.0,1713,5.16549,-75.7668,https://www.municipio.com.co/municipio-risaralda.html,100.7
111,Belalcázar,Caldas,Colombia,17088,http://www.belalcazar-caldas.gov.co,+5768601080,177001,Rogelio De Jesus Pineda Jaramillo,11327,121.0,1409,5,-75.817,https://www.municipio.com.co/municipio-belalcazar.html,93.6
112,Pácora,Caldas,Colombia,17513,http://www.pacora-caldas.gov.co,+5768670213,172040,Jorge William Lopez Ramos,14448,283.0,1935,5.533,-75.45,https://www.municipio.com.co/municipio-pacora.html,51.1
113,Sabanalarga,Atlántico,Colombia,08638,http://sabanalarga-atlantico.gov.co,+5758782171,85009,Jose Elias Chams Chams,84410,399.0,99,10.6316,-74.9207,https://www.municipio.com.co/municipio-sabanalarga-atl.html,211.6
114,Filadelfia,Caldas,Colombia,17272,http://www.filadelfia-caldas.gov.co,+5768580568,171027,German Zuluaga Duque,12235,215.0,1350,5.3,-75.55,https://www.municipio.com.co/municipio-filadelfia.html,56.9
115,Aranzazu,Caldas,Colombia,17050,http://aranzazu-caldas.gov.co,+5768510366,171040,Carolina Zuluaga Serna,12181,157.0,1901,5.27079,-75.4902,https://www.municipio.com.co/municipio-aranzazu.html,77.6
116,Marmato,Caldas,Colombia,17442,http://www.marmato-caldas.gov.co,+5768598170,178007,Julio Vargas Chica,8175,41.0,1096,5.467,-75.6,https://www.municipio.com.co/municipio-marmato.html,199.4
117,Marquetalia,Caldas,Colombia,17444,http://marquetalia-caldas.gov.co,+5768567042,173040,Luis Carlos Betancourth Florez,13880,94.0,1548,5.29639,-75.055,https://www.municipio.com.co/municipio-marquetalia.html,147.7
118,Norcasia,Caldas,Colombia,17495,http://norcasia-caldas.gov.co,+5768554060,175007,Wilmar Herrera Gallego,6523,226.0,729,5.57498,-74.8887,https://www.municipio.com.co/municipio-norcasia.html,28.9
119,Victoria,Caldas,Colombia,17867,http://www.victoria-caldas.gov.co,+5768552638,174038,Elkin Echeverry Buitrago,8756,577.0,610,5.317,-74.9,https://www.municipio.com.co/municipio-victoria.html,15.2
120,San José,Caldas,Colombia,17665,http://www.sanjose-caldas.gov.co,+5768608786,177047,Héctor Alfonso Montes Correa,5951,61.0,1627,5.083,-75.783,https://www.municipio.com.co/municipio-san-jose.html,97.6
121,Barranquilla,Atlántico,Colombia,08001,http://www.barranquilla.gov.co,+5753517756,80014,Alejandro Char Chaljub ,1112889,166.0,24,10.9878,-74.7889,https://www.municipio.com.co/municipio-barranquilla.html,6704.2
122,Marulanda,Caldas,Colombia,17446,http://www.marulanda-caldas.gov.co,+5768498580,173007,Mauricio Andres Restrepo Osorio,2702,374.0,2619,5.283,-75.25,https://www.municipio.com.co/municipio-marulanda.html,7.2
123,Malambo,Atlántico,Colombia,08433,http://malambo-atlantico.gov.co,+5753478165,83028,Efrain Heberto Bello Camargo,99058,108.0,10,10.867,-74.783,https://www.municipio.com.co/municipio-malambo.html,917.2
124,La Merced,Caldas,Colombia,17388,http://lamerced-caldas.gov.co,+5768512371,172067,Rubén Darío Castaño,6324,100.0,1723,5.4,-75.55,https://www.municipio.com.co/municipio-la-merced.html,63.2
125,Soledad,Atlántico,Colombia,08758,http://www.soledad-atlantico.gov.co,+5753436513,83006,Franco Asis Castellano Niebles,455796,67.0,5,10.9166,-74.7501,https://www.municipio.com.co/municipio-soledad.html,6802.9
